simulation_id,timestamp,arrival_rate,expert_weights,complexity_sigma,tx_count,tx_by_model,total_bytes,duration_s,energy_j,power_w,j_per_tx,tx_per_second,blocks_used,start_block,end_block
74,2026-01-25T18:14:30.107390,26.05,"{""Fast-Inference"": 0.3679950063148006, ""Standard-Inference"": 0.20729063096496067, ""Complex-Inference"": 0.22512360240581214, ""Ensemble-Inference"": 0.19959076031442657}",0.372,93,"{""0"": 34, ""3"": 17, ""2"": 19, ""1"": 23}",60261,5.91,142.75,24.14,1.535,15.73,1,152,153
75,2026-01-25T18:14:42.341800,29.17,"{""Fast-Inference"": 0.36815924919431325, ""Standard-Inference"": 0.20757964865671463, ""Complex-Inference"": 0.20373328610196742, ""Ensemble-Inference"": 0.2205278160470047}",0.633,100,"{""2"": 15, ""1"": 27, ""0"": 38, ""3"": 20}",68452,6.23,151.21,24.28,1.5121,16.05,1,154,155
76,2026-01-25T18:14:54.297544,17.31,"{""Fast-Inference"": 0.4141384440927385, ""Standard-Inference"": 0.217594841533455, ""Complex-Inference"": 0.17101889328417366, ""Ensemble-Inference"": 0.1972478210896329}",0.678,93,"{""2"": 15, ""0"": 35, ""3"": 19, ""1"": 24}",58483,6.22,149.51,24.04,1.6076,14.95,1,156,157
77,2026-01-25T18:15:06.370935,14.27,"{""Fast-Inference"": 0.4209657051780149, ""Standard-Inference"": 0.20253969678121872, ""Complex-Inference"": 0.1759038534912796, ""Ensemble-Inference"": 0.20059074454948683}",0.366,91,"{""2"": 14, ""1"": 20, ""3"": 21, ""0"": 36}",58353,6.22,147.72,23.74,1.6233,14.62,1,158,159
78,2026-01-25T18:15:18.108480,29.73,"{""Fast-Inference"": 0.3777484740858391, ""Standard-Inference"": 0.21130947699387362, ""Complex-Inference"": 0.20911691396697538, ""Ensemble-Inference"": 0.20182513495331184}",0.974,80,"{""2"": 11, ""0"": 38, ""1"": 23, ""3"": 8}",42134,5.9,139.01,23.58,1.7376,13.57,1,160,161
79,2026-01-25T18:15:30.081822,13.05,"{""Fast-Inference"": 0.3865114377203296, ""Standard-Inference"": 0.20541899864813354, ""Complex-Inference"": 0.18838546378886217, ""Ensemble-Inference"": 0.21968409984267473}",0.644,91,"{""3"": 24, ""2"": 16, ""1"": 15, ""0"": 36}",64778,5.91,138.84,23.49,1.5257,15.4,1,162,163
80,2026-01-25T18:15:42.309903,25.9,"{""Fast-Inference"": 0.3974702186985052, ""Standard-Inference"": 0.19739738161020967, ""Complex-Inference"": 0.1892221646926555, ""Ensemble-Inference"": 0.2159102349986296}",0.8,100,"{""2"": 21, ""3"": 12, ""0"": 39, ""1"": 28}",63105,6.23,148.32,23.82,1.4832,16.06,1,164,165
81,2026-01-25T18:15:54.115856,10.49,"{""Fast-Inference"": 0.3897415940132462, ""Standard-Inference"": 0.21889550188542672, ""Complex-Inference"": 0.21614913063794922, ""Ensemble-Inference"": 0.1752137734633779}",0.982,100,"{""2"": 19, ""0"": 38, ""3"": 23, ""1"": 20}",67366,5.92,142.2,24.0,1.422,16.88,1,166,167
82,2026-01-25T18:16:06.220967,18.63,"{""Fast-Inference"": 0.4025163684036592, ""Standard-Inference"": 0.2055072918946301, ""Complex-Inference"": 0.20605769658913148, ""Ensemble-Inference"": 0.18591864311257936}",0.739,82,"{""3"": 16, ""0"": 36, ""1"": 14, ""2"": 16}",60668,5.9,140.56,23.83,1.7142,13.9,1,168,169
83,2026-01-25T18:16:18.351038,28.15,"{""Fast-Inference"": 0.35844820845123215, ""Standard-Inference"": 0.20929104963738523, ""Complex-Inference"": 0.2103775168350969, ""Ensemble-Inference"": 0.2218832250762857}",0.576,90,"{""3"": 20, ""2"": 25, ""1"": 14, ""0"": 31}",59893,6.21,146.16,23.54,1.624,14.49,1,170,171
84,2026-01-25T18:16:30.127167,6.09,"{""Fast-Inference"": 0.3788752969124961, ""Standard-Inference"": 0.1987645233722479, ""Complex-Inference"": 0.2035538827449351, ""Ensemble-Inference"": 0.21880629697032097}",0.793,100,"{""0"": 37, ""3"": 23, ""1"": 18, ""2"": 22}",72817,5.93,139.99,23.61,1.3999,16.87,1,172,173
85,2026-01-25T18:16:42.071961,21.89,"{""Fast-Inference"": 0.4026092545235739, ""Standard-Inference"": 0.19524416527086352, ""Complex-Inference"": 0.1916626436680754, ""Ensemble-Inference"": 0.21048393653748715}",0.427,83,"{""0"": 29, ""3"": 21, ""1"": 23, ""2"": 10}",54365,5.9,140.75,23.87,1.6958,14.08,1,174,175
86,2026-01-25T18:16:54.090536,16.37,"{""Fast-Inference"": 0.41181057611440997, ""Standard-Inference"": 0.2079752878831804, ""Complex-Inference"": 0.17327622296027947, ""Ensemble-Inference"": 0.20693791304213024}",0.94,100,"{""3"": 21, ""0"": 41, ""1"": 23, ""2"": 15}",63737,5.93,143.24,24.15,1.4324,16.86,1,176,177
87,2026-01-25T18:17:06.322746,26.69,"{""Fast-Inference"": 0.41358680560838285, ""Standard-Inference"": 0.20587946908400212, ""Complex-Inference"": 0.20028997147816044, ""Ensemble-Inference"": 0.18024375382945462}",0.755,84,"{""2"": 24, ""0"": 34, ""3"": 14, ""1"": 12}",57006,6.2,147.4,23.76,1.7548,13.54,1,178,179
88,2026-01-25T18:17:18.354363,13.37,"{""Fast-Inference"": 0.37484595996412573, ""Standard-Inference"": 0.21971911690649645, ""Complex-Inference"": 0.18752128933484444, ""Ensemble-Inference"": 0.2179136337945334}",0.855,100,"{""2"": 21, ""1"": 20, ""0"": 35, ""3"": 24}",72311,6.23,149.13,23.93,1.4913,16.05,1,180,181
89,2026-01-25T18:17:30.331588,18.47,"{""Fast-Inference"": 0.39919072699950686, ""Standard-Inference"": 0.20646130559409404, ""Complex-Inference"": 0.19418839874277255, ""Ensemble-Inference"": 0.20015956866362652}",0.322,100,"{""1"": 30, ""0"": 31, ""2"": 25, ""3"": 14}",61071,6.23,150.35,24.13,1.5035,16.05,1,182,183
90,2026-01-25T18:17:42.117348,20.17,"{""Fast-Inference"": 0.398479138436363, ""Standard-Inference"": 0.1945959812298648, ""Complex-Inference"": 0.20686194737749564, ""Ensemble-Inference"": 0.20006293295627656}",0.338,93,"{""0"": 31, ""2"": 15, ""3"": 26, ""1"": 21}",62581,5.92,145.68,24.62,1.5665,15.72,1,184,185
91,2026-01-25T18:17:54.348046,21.98,"{""Fast-Inference"": 0.4235479216321253, ""Standard-Inference"": 0.1966030472583486, ""Complex-Inference"": 0.1809685246049464, ""Ensemble-Inference"": 0.19888050650457975}",0.317,91,"{""2"": 15, ""3"": 10, ""0"": 45, ""1"": 21}",43214,6.22,146.49,23.56,1.6098,14.64,1,186,187
92,2026-01-25T18:18:06.082806,27.61,"{""Fast-Inference"": 0.3583181708094087, ""Standard-Inference"": 0.23149227325284322, ""Complex-Inference"": 0.21281223034421792, ""Ensemble-Inference"": 0.19737732559353016}",0.38,90,"{""1"": 27, ""0"": 28, ""3"": 13, ""2"": 22}",53151,5.92,141.61,23.94,1.5735,15.21,1,188,189
93,2026-01-25T18:18:18.309445,5.84,"{""Fast-Inference"": 0.3756558041534007, ""Standard-Inference"": 0.200952127756769, ""Complex-Inference"": 0.22829102878879778, ""Ensemble-Inference"": 0.19510103930103248}",0.462,100,"{""3"": 26, ""0"": 41, ""1"": 18, ""2"": 15}",68054,6.23,151.85,24.36,1.5185,16.04,1,190,191
94,2026-01-25T18:18:30.076036,10.1,"{""Fast-Inference"": 0.41969424783226567, ""Standard-Inference"": 0.17318589774401094, ""Complex-Inference"": 0.22556469379682284, ""Ensemble-Inference"": 0.1815551606269006}",0.413,80,"{""0"": 31, ""2"": 23, ""3"": 15, ""1"": 11}",51789,5.9,140.19,23.77,1.7524,13.57,1,192,193
95,2026-01-25T18:18:42.363880,24.86,"{""Fast-Inference"": 0.3949900246605336, ""Standard-Inference"": 0.19091109670655587, ""Complex-Inference"": 0.19179938110601155, ""Ensemble-Inference"": 0.22229949752689881}",0.944,89,"{""0"": 39, ""1"": 18, ""2"": 22, ""3"": 10}",62053,6.21,148.1,23.84,1.664,14.33,1,194,195
96,2026-01-25T18:18:54.100430,5.78,"{""Fast-Inference"": 0.4058757891550916, ""Standard-Inference"": 0.21422373272362785, ""Complex-Inference"": 0.18909381217015672, ""Ensemble-Inference"": 0.19080666595112383}",0.445,86,"{""3"": 17, ""1"": 16, ""0"": 37, ""2"": 16}",51090,5.91,139.23,23.57,1.6189,14.56,1,196,197
97,2026-01-25T18:19:06.134483,24.6,"{""Fast-Inference"": 0.363317749529784, ""Standard-Inference"": 0.23074386863604573, ""Complex-Inference"": 0.19445061526552634, ""Ensemble-Inference"": 0.21148776656864388}",0.784,100,"{""0"": 32, ""1"": 22, ""3"": 27, ""2"": 19}",88224,5.93,138.87,23.42,1.3887,16.86,1,198,199
98,2026-01-25T18:19:18.100085,21.72,"{""Fast-Inference"": 0.3920898619476922, ""Standard-Inference"": 0.215405224092327, ""Complex-Inference"": 0.2072406883139174, ""Ensemble-Inference"": 0.18526422564606343}",0.567,99,"{""0"": 35, ""1"": 24, ""2"": 22, ""3"": 18}",68025,5.93,140.06,23.63,1.4147,16.7,1,200,201
99,2026-01-25T18:19:30.342730,5.26,"{""Fast-Inference"": 0.42596486753578783, ""Standard-Inference"": 0.17898936776868396, ""Complex-Inference"": 0.19987643703653318, ""Ensemble-Inference"": 0.19516932765899517}",0.684,89,"{""3"": 14, ""2"": 14, ""1"": 12, ""0"": 49}",47517,6.22,149.13,23.99,1.6756,14.32,1,202,203
100,2026-01-25T18:19:42.081319,16.08,"{""Fast-Inference"": 0.36486202095433434, ""Standard-Inference"": 0.21145756048365624, ""Complex-Inference"": 0.22661326699632103, ""Ensemble-Inference"": 0.19706715156568846}",0.813,100,"{""0"": 40, ""2"": 22, ""1"": 14, ""3"": 24}",70442,5.93,143.41,24.19,1.4341,16.86,1,204,205
