simulation_id,timestamp,arrival_rate,expert_weights,complexity_sigma,tx_count,tx_by_model,total_bytes,duration_s,energy_j,power_w,j_per_tx,tx_per_second,blocks_used,start_block,end_block
122,2026-01-25T14:51:12.279227,26.85,"{""Fast"": 0.4782604477606079, ""Standard"": 0.3252117020932174, ""Complex"": 0.1446495953033881, ""Ensemble"": 0.051878254842786534}",0.346,94,"{""0"": 39, ""1"": 30, ""3"": 6, ""2"": 19}",43063,6.22,149.32,24.02,1.5885,15.12,1,248,249
123,2026-01-25T14:51:24.115902,26.73,"{""Fast"": 0.49383037450099626, ""Standard"": 0.31082668219099113, ""Complex"": 0.13669436446039396, ""Ensemble"": 0.058648578847618676}",0.579,100,"{""2"": 14, ""1"": 33, ""0"": 48, ""3"": 5}",46046,5.93,142.53,24.05,1.4253,16.87,1,250,251
124,2026-01-25T14:51:36.325342,28.85,"{""Fast"": 0.5069079574998109, ""Standard"": 0.29133768778562835, ""Complex"": 0.14408865959666253, ""Ensemble"": 0.05766569511789819}",0.449,100,"{""1"": 23, ""3"": 5, ""0"": 56, ""2"": 16}",43303,6.23,148.55,23.83,1.4855,16.04,1,252,253
125,2026-01-25T14:51:48.321256,6.01,"{""Fast"": 0.5224549275404524, ""Standard"": 0.2999720911332473, ""Complex"": 0.1381315133950473, ""Ensemble"": 0.039441467931253076}",0.506,90,"{""0"": 46, ""1"": 28, ""2"": 13, ""3"": 3}",34582,6.21,148.19,23.85,1.6465,14.49,1,254,255
126,2026-01-25T14:52:00.127683,27.02,"{""Fast"": 0.5022099056072095, ""Standard"": 0.3211884232750688, ""Complex"": 0.13152527176712855, ""Ensemble"": 0.045076399350592926}",0.838,93,"{""0"": 48, ""1"": 34, ""3"": 4, ""2"": 7}",35299,5.91,146.69,24.8,1.5774,15.72,1,256,257
127,2026-01-25T14:52:12.092885,23.15,"{""Fast"": 0.5046815264133122, ""Standard"": 0.2973802442650996, ""Complex"": 0.1535074528915891, ""Ensemble"": 0.044430776429998986}",0.315,86,"{""0"": 56, ""1"": 19, ""2"": 9, ""3"": 2}",28725,5.9,141.51,23.98,1.6454,14.57,1,258,259
128,2026-01-25T14:52:24.330922,28.56,"{""Fast"": 0.5284453799666666, ""Standard"": 0.25780953331596523, ""Complex"": 0.1648381479113673, ""Ensemble"": 0.048906938806000874}",0.865,100,"{""0"": 48, ""1"": 35, ""2"": 13, ""3"": 4}",45684,6.23,150.73,24.19,1.5073,16.05,1,260,261
129,2026-01-25T14:52:36.375097,21.16,"{""Fast"": 0.4788705914008587, ""Standard"": 0.31263995084546664, ""Complex"": 0.1480501435241791, ""Ensemble"": 0.06043931422949556}",0.373,100,"{""0"": 41, ""3"": 8, ""1"": 34, ""2"": 17}",49332,6.23,148.6,23.87,1.486,16.06,1,262,263
130,2026-01-25T14:52:48.343433,29.65,"{""Fast"": 0.5158489164348397, ""Standard"": 0.29445255471722787, ""Complex"": 0.14213030321270131, ""Ensemble"": 0.047568225635231116}",0.927,78,"{""0"": 41, ""2"": 7, ""3"": 6, ""1"": 24}",36525,6.19,149.69,24.18,1.9192,12.6,1,264,265
131,2026-01-25T14:53:00.130199,21.5,"{""Fast"": 0.454333188723967, ""Standard"": 0.3306252739469872, ""Complex"": 0.16010922730703148, ""Ensemble"": 0.05493231002201426}",0.844,100,"{""0"": 48, ""2"": 23, ""1"": 25, ""3"": 4}",49501,5.93,151.2,25.51,1.512,16.87,1,266,267
132,2026-01-25T14:53:12.303707,6.66,"{""Fast"": 0.4579544862329156, ""Standard"": 0.3026301101451328, ""Complex"": 0.18012652320663852, ""Ensemble"": 0.05928888041531299}",0.302,100,"{""1"": 31, ""0"": 43, ""2"": 20, ""3"": 6}",46131,6.23,149.39,23.97,1.4939,16.04,1,268,269
